Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
0,Modelagem preditiva,livros,92.45,5.6096965236,2020-01-01T00:00:00.000,Thiago Silva,BA,1,cartao_credito,3,-13.29,-41.71
1,Iniciando em programação,livros,43.84,0,2020-01-01T00:00:00.000,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
2,Pandeiro,instrumentos musicais,87.18,2.2265117938,2020-01-01T00:00:00.000,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
3,Corda de pular,esporte e lazer,13.65,1.2579259604,2020-01-01T00:00:00.000,Camila Ribeiro,RJ,4,boleto,1,-22.25,-42.66
4,Dinossauro Rex,brinquedos,28.32,2.0390593271,2020-01-01T00:00:00.000,Juliana Costa,RJ,1,cartao_debito,1,-22.25,-42.66
5,Jogo de copos,utilidades domesticas,54.67,9.2906273957,2020-01-01T00:00:00.000,Camila Ribeiro,SP,4,boleto,1,-22.19,-48.79
6,Lavadora de roupas,eletrodomesticos,1920.01,99.8191954012,2020-01-01T00:00:00.000,Juliana Costa,ES,5,cartao_credito,2,-19.19,-40.34
7,Bola de vôlei,esporte e lazer,56.26,0,2020-01-01T00:00:00.000,Mariana Ferreira,MG,3,cartao_credito,4,-18.1,-44.38
8,Xadrez de madeira,brinquedos,25.87,1.9086041977,2020-01-01T00:00:00.000,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
9,Xadrez de madeira,brinquedos,25.23,0,2021-01-01T00:00:00.000,Thiago Silva,BA,5,cartao_credito,2,-13.29,-41.71
10,Impressora,eletronicos,322.04,14.7321002401,2021-01-01T00:00:00.000,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
11,Mesa de centro,moveis,282.22,12.6118050347,2021-01-01T00:00:00.000,João Souza,SP,3,boleto,1,-22.19,-48.79
12,Tablet ABXY,eletronicos,1100.42,68.4513476183,2021-01-01T00:00:00.000,Beatriz Moraes,SP,1,cupom,1,-22.19,-48.79
13,Fogão,eletrodomesticos,791.81,42.4446263246,2021-01-01T00:00:00.000,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
14,Violão,instrumentos musicais,316.84,17.1595536296,2022-01-01T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
15,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01-01T00:00:00.000,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
16,Secadora de roupas,eletrodomesticos,1893.04,107.1782993366,2022-01-01T00:00:00.000,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
